,embedding,model
196,"[-0.44210295608213573, 10.982485209846416]",0
197,"[-24.8741643148618, -20.38528630107533]",0
198,"[-42.12823999236996, -0.9359419352306187]",0
199,"[6.946638657090428, -26.294781955520605]",0
200,"[25.47646077221659, -21.44729247654683]",0
201,"[29.167602228363197, -3.78491092268663]",0
202,"[16.59518488914067, 15.685458329169634]",0
203,"[-24.38073054835596, -31.829579919245873]",0
204,"[-4.489238820989255, 31.790920273450304]",0
205,"[-31.472203821662962, -11.918174270944212]",0
206,"[28.90661976670451, 17.227964389748898]",0
207,"[28.882775069829265, 15.163435926511074]",0
208,"[29.08962542304554, 14.010278169795265]",0
209,"[29.275785150988415, 13.669338648055781]",0
210,"[29.313020201550195, 13.609128555708466]",0
211,"[22.416538342109856, 7.6982437139973365]",0
212,"[-22.216371779144065, -25.395288915023087]",0
213,"[-27.01079479978981, 15.224248836917685]",0
214,"[5.77709710323046, -31.1375521102534]",0
215,"[-7.837178077528548, 2.8889123397031566]",0
216,"[-20.439690210934625, -23.386500568578008]",0
217,"[-4.881519008007937, -2.966426330239101]",0
218,"[23.185063647102112, 26.514403301376692]",0
219,"[33.39011114566334, 0.19235579202181394]",0
220,"[23.73003891135462, -24.581958447484293]",0
221,"[5.074358100589277, -29.66976273016529]",0
222,"[-27.56225036413962, -18.359828012066593]",0
223,"[-9.787174262545312, 13.911147872920523]",0
224,"[-22.697077774497302, -22.95411744331525]",0
225,"[-12.489616664355191, 24.663444500589613]",0
226,"[24.70823267004428, 6.758058792524493]",0
227,"[2.4533619627446943, -36.628316695834094]",0
228,"[-5.707419195337838, -1.4776637793345242]",0
229,"[-37.99309220400906, -7.351396588104051]",0
230,"[-2.7473233178224583, 0.7191584448190039]",0
231,"[-27.644434615407633, 13.99512883389765]",0
232,"[-16.046945166205894, 17.20030509040497]",0
233,"[-35.725227496271046, 2.875001591515875]",0
234,"[-36.44280990176109, 5.98377004173202]",0
235,"[-36.66227028016392, 6.199608626068487]",0
236,"[-23.68187415459627, 17.158216865458908]",0
237,"[-25.091179188967256, 10.848544247972269]",0
238,"[-25.281246516781408, 10.488384147036502]",0
239,"[-26.3132026244231, 10.466530135983156]",0
240,"[-28.90575646770696, 10.160773824403353]",0
241,"[-39.05685998292463, 6.512233211052389]",0
242,"[-40.580699035874495, 5.752155181838793]",0
243,"[-41.5364917712623, 5.156137657704006]",0
244,"[-42.98602778713697, 4.6752649132036375]",0
245,"[-44.60266018587327, 4.2761657265087045]",0
246,"[-45.77361795408295, 3.7732217485269555]",0
247,"[-47.62377218444418, 3.2867684949745857]",0
248,"[-13.031189653755582, -1.8529482537166422]",0
249,"[20.52486721237158, -2.880561880887235]",0
250,"[22.883065935670853, -21.10129593198841]",0
251,"[36.88384980470845, -11.415871705898882]",0
252,"[35.89095434637397, -7.876603958316724]",0
253,"[0.055938625120949666, -41.45558546318529]",0
254,"[36.1461231453103, -9.431737100337488]",0
255,"[22.5295369017455, -20.486804775697014]",0
256,"[35.16799151578593, -7.611339607871649]",0
257,"[6.805177378844526, -33.92943757581362]",0
258,"[36.38680870587587, -12.341568235764939]",0
259,"[36.273288657519394, -12.369957516496347]",0
260,"[36.620127623730404, -11.713234104975726]",0
261,"[33.57976092400511, 3.5248896245029044]",0
262,"[19.653153370567143, 37.51475657285148]",0
263,"[22.213436948904782, 38.702665590916695]",0
264,"[-10.252548018405422, 28.60659066988437]",0
265,"[-19.831982391398356, 16.118334715473246]",0
266,"[-29.3665864868916, 8.142539654950754]",0
267,"[-38.935118853428314, -8.898183487691465]",0
268,"[-39.22697051564563, -8.115041465083484]",0
269,"[-39.54413514309012, -7.186372515652914]",0
270,"[-42.818742633700076, 0.27090504076481164]",0
271,"[-42.861222774815026, -0.107562914121086]",0
272,"[-42.94969566202978, -0.207331536128248]",0
273,"[-42.96573302807521, -0.12076308352217141]",0
274,"[-21.794310434128338, 18.986939433495092]",0
275,"[23.04006463373776, 28.008309744767647]",0
276,"[23.145417200815295, 27.93945121564546]",0
277,"[23.20391298702422, 27.987850841381178]",0
278,"[32.52508919257346, -7.622590475867256]",0
279,"[4.067708218368987, -32.316644243164625]",0
280,"[36.31596326884633, -10.562209480718227]",0
281,"[38.355013845403654, -12.925008725587878]",0
282,"[28.448685479865464, -30.50341027560622]",0
283,"[36.59289482301505, -15.532780241995644]",0
284,"[30.74076243605287, -17.422915391154216]",0
285,"[15.846260268572712, -28.272546317415642]",0
286,"[-31.417691755745796, -8.002328739892977]",0
287,"[-34.86827344984166, -1.3643594050223389]",0
288,"[23.317610546383268, 25.880655649481735]",0
289,"[23.84195310274634, 26.296999102499303]",0
290,"[26.220944536231823, 23.10713430857373]",0
291,"[26.11684372475214, 22.382191798242534]",0
292,"[27.91946849601291, 20.032592572126102]",0
293,"[-2.232257114275981, 14.47037817843005]",0
294,"[-2.24528567645538, 14.114607670680115]",0
295,"[-2.4074978938334906, 13.744681564456258]",0
296,"[-8.631956636965846, 15.321814605447884]",0
297,"[-1.996282018130104, 13.373650712177856]",0
298,"[-3.3674228984958154, -4.5453793955252495]",0
299,"[-8.43058752455159, 15.814348953640911]",0
300,"[5.089083725418429, -33.06891817006182]",0
301,"[22.101408491385644, 9.927481231664911]",0
302,"[-20.32533634310037, -23.06901310620904]",0
303,"[0.7122586148160501, 12.525152796342928]",0
304,"[34.13014421203205, -1.486431565380528]",0
305,"[-3.380760092725899, -4.490429375508517]",0
306,"[22.32683641417269, 10.71274354401713]",0
307,"[-22.775399786995546, -23.215040708526015]",0
308,"[-12.004153491105685, 25.144633931586796]",0
309,"[23.51483451247002, 3.6809048639096162]",0
310,"[1.9074454423159175, -36.731472445639305]",0
311,"[2.994031975968258, -28.40869644988912]",0
312,"[24.90001437837783, 8.365814835602219]",0
313,"[-23.54529548746259, -22.172527063175533]",0
314,"[22.44588603774688, 25.84522289217581]",0
315,"[23.96106384146732, 8.654035865260585]",0
316,"[1.936411535506422, -36.147353249042666]",0
317,"[22.57396109208991, 3.844499516596869]",0
318,"[-23.00416818762835, -28.24244325455724]",0
319,"[-12.314067705876452, 24.732016564111532]",0
320,"[-4.581012764930905, 0.2416432692698312]",0
321,"[-9.483706901288517, 12.309471712553119]",0
322,"[-37.37975964624157, -11.054328604975522]",0
323,"[-38.19852699348602, 7.265258717079863]",0
324,"[-38.174424919384904, 7.14142996396781]",0
325,"[-37.09259586765823, 7.471985485450732]",0
326,"[-24.075283274684423, 16.782729318268597]",0
327,"[-23.87600287993495, 16.936269657132748]",0
