,embedding,model
188,"[-7.607881417961457, -7.035986159640488]",3
189,"[-4.585449479954482, -10.278815919305842]",3
190,"[8.004510703092595, 5.923112874282012]",3
191,"[-4.72879360731477, -10.747887543924303]",3
192,"[7.633632654603026, 4.972281725607283]",3
193,"[2.6885939179468505, -6.133185424210716]",3
194,"[-1.3009439726103889, 9.999358348410508]",3
195,"[0.0046083843992911775, 10.540303167879566]",3
196,"[-3.119818700488665, 9.44062992721682]",3
197,"[2.0430727880787094, 8.954789970872046]",3
198,"[-4.375050124414591, 6.684979913781245]",3
199,"[0.09680726660729683, 9.806946975959733]",3
200,"[-10.257969060993545, 6.333051142359159]",4
201,"[-5.580137390647317, -2.5824087778181206]",4
202,"[-2.913572934815794, 8.009173978048452]",4
203,"[-2.8238412822540875, 8.066289899213269]",4
204,"[-1.515694869408293, 7.7716877198437375]",4
205,"[7.430540173805026, -0.1677466964405667]",4
206,"[4.0569875843517025, -1.5834211757948022]",4
207,"[-3.4032730015983788, -5.0080127515569375]",4
208,"[2.014244176097199, -3.0303878850009283]",4
209,"[-3.8129855044082914, -5.659466278970575]",4
210,"[-3.9534439425194385, -6.242529008190567]",4
211,"[-2.4390871751994747, -9.861564933781686]",4
212,"[-2.6047979637143635, -8.547546577095039]",4
213,"[-3.1176785380425263, -5.375438053425068]",4
214,"[-2.94747866688921, -5.634828546119545]",4
215,"[-2.3608998158392027, -5.973416655343072]",4
216,"[-1.8729834377886225, -8.542995370807377]",4
217,"[2.853304590523705, -3.575102022992762]",4
218,"[7.472643753279067, -3.7539601772450735]",4
219,"[11.00127099166195, 3.5021806183190702]",4
220,"[-0.9964707045581328, -3.134976107858784]",4
221,"[-2.321019348253704, -1.0714794043570453]",4
222,"[9.80394066068412, 2.937625583503583]",4
223,"[-0.5239454244323324, -6.6794674374254495]",4
224,"[-8.781744005482185, 3.419467759114544]",4
225,"[10.737275157206055, 7.231717689328329]",4
226,"[-0.8821755746862865, -3.7729924751162134]",4
227,"[-1.8613771172280622, -4.76303970466852]",4
228,"[-1.0957081269665616, -8.453736815271803]",4
229,"[-11.244835570044081, 5.336320126607214]",4
230,"[-5.511763050628558, -2.613400437995171]",4
231,"[1.2293700055768053, -1.7393229208783991]",4
232,"[9.750400508386395, 4.517717212360296]",4
233,"[-0.6867708485372318, -6.970052213650635]",4
234,"[12.276402881856738, 6.128724911585103]",4
235,"[-0.8247093729618129, -5.122655177807278]",4
236,"[10.448744043911912, 4.493447256017666]",4
237,"[-0.49181570580072603, -4.769316900327217]",4
238,"[7.073273841893116, -4.485264468726947]",4
239,"[-1.4908874563766912, -4.784896661684049]",4
240,"[2.9364048828016993, -2.7527562604455484]",4
241,"[-9.853905669478898, 4.481630352539363]",4
242,"[5.142032779591076, -1.3107155981518859]",4
243,"[-2.0887372301457128, -9.760667058623254]",4
244,"[-2.714855570753453, 0.2594496227086145]",4
245,"[2.891483953395489, -2.2290726149446205]",4
246,"[7.940705125268399, -3.300077594442]",4
247,"[12.080868674045206, 3.5302908213417075]",4
248,"[-0.2586520929271439, -7.526904820581829]",4
249,"[11.313345167725641, 4.246357901572846]",4
