param scale,primitive 0,primitive 1,primitive 2,primitive 3,primitive 4,primitive 5,primitive 6,primitive 7,primitive 8,primitive 9,primitive 10,primitive 11,primitive 12,primitive 13,primitive 14,primitive 15,primitive 16,primitive 17,primitive 18,primitive 19,primitive 20,primitive 21,primitive 22,primitive 23,primitive 24,primitive 25,primitive 26,primitive 27,primitive 28,primitive 29
1.5,828.8010397475143,1301.6766755934916,997.0683888464771,1030.9845214245847,620.7459741670666,462.0165662476019,341.5327232554478,1148.0819018621755,105.40820999463024,941.7181954496943,621.514175858634,670.32468048023,967.1137163969555,597.5197517728407,512.9354592082102,406.4023515877964,75.08629341642327,415.26858617227197,558.0046040133624,528.9251886062683,754.7561891698864,487.4073405037363,451.8034683870411,317.3958248137474,1011.3037004262858,559.0332657900374,373.25680515718057,616.8398623292419,492.683977613198,1029.6320305129782
1.6,941.9082947696767,1199.7753872846679,996.3415066959533,1030.8760614341868,446.71644217714277,456.0507665931219,345.0207260020537,599.4011277757171,88.43344962035032,1115.893471499758,480.71111891730624,644.41657890703,971.1199438994893,574.317604688311,441.2635160727783,393.69714616800627,69.42793508891532,400.6834650020089,554.4586867672584,369.8631102723854,726.3758040788932,454.75496630636206,456.85032262110565,307.7170638666137,1011.4008590243104,353.06563970832565,426.1107861563729,563.7108987636395,533.3339024537631,1033.3929117625023
1.7,741.2134090781759,1162.8155083547606,995.9110532166418,1030.7649460090654,416.281358161414,445.5023741159231,331.2552952522914,553.0139652398607,86.34988577952883,1133.707253937248,483.66829138354007,598.2888177471077,925.670638099765,528.8967241042209,435.0125591208795,375.5303512749265,68.93650337898882,402.49226265428297,546.1514905701108,261.5996145898078,719.2276488539692,431.79778159387104,473.8177906105827,310.1902474869849,1011.234893761484,325.1128722267205,423.8234788499053,638.1442462337124,286.9594309856523,1036.7898040121536
1.8,532.1268053094599,793.9033248528275,994.901767456291,1030.850075625687,456.9998237002571,437.3470980131283,319.262502861876,536.8457067938115,79.11405460395488,639.510820363281,481.9029306899015,530.9889382806031,969.289791671659,524.281242172862,429.4703027337908,364.2792864248879,65.84191568246848,378.5401468918295,537.4034892979118,253.30513291914673,634.1029705425997,419.2590343290427,484.6134027310095,317.62382133827873,1011.3981021860096,322.88970644267135,419.18197458216827,605.5366236085554,253.5277842138686,1038.7618279822377
1.9,502.9955817555697,912.4566131465859,994.4429127961297,1030.7954015842597,436.57502336309255,427.295136347385,307.49157925407724,504.46671596278867,78.07420017233552,505.9989510637787,461.99037651556756,494.3928730901199,927.0901799337246,521.8590819850306,421.5814535810908,351.4305390131487,66.8592527022355,350.09033960261814,536.2811184796827,272.27811005020453,577.4685239422632,407.329565845144,496.69499369737923,321.97414238788946,1011.7554752569765,352.83584569290076,420.1913475361039,564.6659755549387,275.90165743128347,1041.120087787523
2.0,481.9721925957298,1028.2403165771987,993.9578100486766,1030.7433882673615,368.5888931646025,419.18038707106587,313.0580864507835,486.7096349864499,75.60185994440843,522.4473646526492,447.43900853972445,452.94441244639074,928.0547708794873,517.1081883613268,417.54042469562074,344.38185978642525,66.57845326435933,353.6519661212353,534.7876031973877,302.0362978523483,569.6804913226706,398.6216302649137,504.00255043172336,323.0696947719158,1012.1827889629965,393.3670392754081,421.69268279818345,615.58280138012,242.9469022392622,1043.9638624132342
2.1,474.67052272940936,1186.4003238861183,993.303633383588,1030.864691867308,361.486764092124,409.3668851694692,291.9063237179731,470.1546249746216,79.19349791874065,692.0088090183423,441.05904005459905,434.711902615467,926.3831341288678,511.75099260890227,409.29002463092195,344.6673724949927,259.6630243248036,370.12479146276314,523.0106494361407,357.5998883311649,566.2109941020383,393.2444808009861,511.50443560663416,323.04016327273223,1012.0307123667711,397.99132547808455,419.161453743331,606.7935053005542,283.5596078115469,1204.6463965311646
2.2,471.52253551482954,1251.134351629457,993.0441795669958,1030.7916256461788,380.5390667833366,399.84778802989274,257.26421341727195,468.7469870607562,79.27015772925571,518.4919532100176,438.17822919108585,413.1266749535732,925.9442533062487,506.21594429933174,402.05111941355904,345.18865629721824,787.9676505933505,376.60654561820724,508.1796750146029,426.4792667031017,566.0813654443957,389.55235762659163,523.2818931901846,319.764939568689,1012.0884131732489,413.01393987511875,418.02992158378703,579.6358700764918,313.535932212295,908.2473771455292
2.3,467.19305975844236,951.8743099607029,992.8344845271398,1030.823315676303,385.8211151131962,391.45617366352457,252.06442550404614,474.3965629339468,81.8157287909979,431.2595413465227,437.15506049909817,349.05432750025614,974.7169657294171,498.4333859355751,394.1147291825429,341.8423380879231,178.86989262250853,384.1175023578775,492.69078544985484,443.33914108132575,558.2226417178472,384.06604166111094,510.6736930310797,343.3082489297475,1012.9145964947465,405.81136172740275,406.1604419836845,553.1504669055088,210.95290151916794,828.9570814014754
2.4,460.43381275478305,628.7717733696616,992.7675887572875,1030.7120887701192,394.6079101250938,402.21292735291917,252.73853836841712,462.2634491649557,86.87317843260578,392.78488184835555,435.78962537653814,332.42878017898914,972.526656001616,491.5858722676393,385.330530267703,333.5181418741338,95.22276103260204,387.4967357612432,469.52008872500465,472.93246787252485,549.3385180743361,377.19547519351715,508.37238518452716,345.24744661697315,1013.432618487746,395.4252781382429,403.5682331863874,598.7660492321518,383.6000791107015,694.0058171385364
